pmid,target_protocol_ids,queries_issued,candidate_urls,is_hit,hit_rank
35438621,12875|38624|54341,"[""protocols.io high molecular weight DNA extraction filamentous fungi long-read sequencing"", ""protocols.io HMW DNA filamentous fungi nanopore PacBio genome assembly"", ""protocols.io multi-step high purity high molecular weight DNA extraction fungal mycelium CTAB""]","[""https://www.protocols.io/view/high-molecular-weight-dna-extraction-from-challeng-261ge6mkol47/v3"", ""https://www.protocols.io/view/multi-step-high-purity-high-molecular-weight-dna-e-rzkd74w"", ""https://www.protocols.io/view/high-molecular-weight-dna-extraction-from-fungal-t-9g3h3yn"", ""https://www.protocols.io/view/large-volume-fungal-genomic-dna-extraction-protoco-14egn59mg5dy/v1"", ""https://www.protocols.io/view/high-molecular-weight-dna-extraction-from-fungal-s-n92ld8ybnv5b/v2"", ""https://www.protocols.io/view/high-molecular-weight-dna-extraction-from-challeng-5isg4ee"", ""https://www.protocols.io/view/high-molecular-weight-dna-extraction-and-small-fra-bgw5jxg6"", ""https://www.protocols.io/view/high-quality-dna-from-fungi-for-long-read-sequenci-hadb2a6"", ""https://www.protocols.io/view/high-purity-high-molecular-weight-dna-extraction-f-n5ydg7w"", ""https://www.protocols.io/view/scalable-high-molecular-weight-dna-extraction-for-bnjhmcj6""]",True,4
28607482,121900,"[""protocols.io primordial germ cell specification pig human SOX17 BLIMP1 WNT BMP"", ""protocols.io PGC specification gastrulation pig embryo SOX17 BLIMP1 signaling protocol"", ""protocols.io pig porcine primordial germ cell PGC specification BMP WNT SOX17 BLIMP1 protocol"", ""site:protocols.io primordial germ cell PGC gastrulation embryo SOX17 BMP WNT""]",[],False,
29641611,9528,"[""protocols.io oyster reef wetland restoration coastal flood risk cost-effectiveness"", ""protocols.io seawall coastal flood risk climate change Gulf Coast protocol"", ""protocols.io nature-based coastal adaptation flood risk assessment protocol Gulf Coast"", ""site:protocols.io coastal restoration flood risk wetland oyster reef seawall benefit-cost""]",[],False,
30625152,13137,"[""protocols.io genome-scale metabolic model protein structures Staphylococcus aureus USA300 gene essentiality"", ""protocols.io GEM metabolic model S. aureus USA300 growth conditions flux balance analysis"", ""protocols.io GEM-PRO Staphylococcus aureus USA300 JE2 3D protein structures metabolic model protocol"", ""site:protocols.io \""Staphylococcus aureus\"" metabolic model gene essentiality flux balance"", ""protocols.io iYS854 GEM-PRO Staphylococcus aureus USA300 Seif genome scale metabolic""]",[],False,
36329019,54885,"[""protocols.io fluorescence absolute protein concentration bacterial cell fluorescent protein calibrant microplate"", ""protocols.io convert arbitrary fluorescence units absolute concentration per cell calibration standard"", ""protocols.io FPCount ECmax purification-free fluorescent protein calibration microplate""]","[""https://www.protocols.io/view/fpcount-protocol-in-lysate-purification-free-proto-cr7uv9nw"", ""https://www.protocols.io/view/fpcount-protocol-in-lysate-purification-free-proto-bzudp6s6"", ""https://www.protocols.io/view/fpcount-protocol-short-protocol-bzt6p6re"", ""https://www.protocols.io/view/fpcount-protocol-full-protocol-36wgq4235vk5/v1"", ""https://www.protocols.io/view/calibration-protocol-fluorescence-standard-curve-w-5qpvon81zl4o/v1"", ""https://www.protocols.io/view/calibration-protocol-plate-reader-fluorescence-cal-548g8zw"", ""https://www.protocols.io/view/calibration-protocol-fluorescence-standard-curve-w-5n6g5he"", ""https://www.protocols.io/view/igem-calibration-protocol-red-fluorescent-proteins-bcdjis4n"", ""https://www.protocols.io/view/calibration-protocol-conversion-of-od600-to-colony-zgnf3ve"", ""https://www.protocols.io/view/calibration-protocol-plate-reader-fluorescence-cal-6zrhf56""]",True,2
42007381,239679,"[""intratracheal LPS mouse acute lung injury histopathology protocol protocols.io"", ""aged C57BL/6J mice ARDS LPS model histopathology protocol protocols.io"", ""protocols.io intratracheal LPS acute lung injury ALI ARDS aged mouse histopathology"", ""site:protocols.io \""acute lung injury\"" OR \""LPS\"" OR \""intratracheal\"" mouse histopathology ARDS""]",[],False,
40163522,37534,"[""Mimulus guttatus nasutus hybridization reproductive isolation whole-genome sequencing protocols.io"", ""Mimulus guttatus nasutus climate variability admixed populations genomics protocol"", ""protocols.io Mimulus guttatus nasutus whole genome sequencing low coverage population genomics"", ""protocols.io plant DNA extraction whole genome sequencing low coverage hybridization population""]","[""https://www.protocols.io/view/low-cost-tagmentation-library-prep-for-low-coverag-dk6i4zce.html"", ""https://www.protocols.io/view/plant-dna-extraction-and-preparation-for-ont-seque-bcvyiw7w"", ""https://www.protocols.io/view/plant-assemble-plant-de-novo-genome-assembly-assem-b6hirb4e"", ""https://www.protocols.io/view/protocol-for-genomic-dna-extraction-and-sequencing-dbkk2kuw"", ""https://www.protocols.io/view/angsd-population-genomics-pipeline-low-coverage-wg-rm7vzy85plx1"", ""https://www.protocols.io/view/whole-genome-sequencing-library-preparation-using-bjefjk3n"", ""https://www.protocols.io/view/low-coverage-whole-genome-sequencing-library-prepa-14egnz2yql5d"", ""https://www.protocols.io/view/dna-extraction-from-plant-tissue-for-illumina-sequ-bfstjnen"", ""https://www.protocols.io/view/admixture-population-structure-analysis-from-low-c-yxmvmn6"", ""https://www.protocols.io/view/population-genomics-snp-calling-and-filtering-pipe-j8nlkwpe""]",False,
35711922,122089,"[""extrachromosomal circular DNA oncogene amplification nanopore long-read sequencing graph-based pipeline protocol site:protocols.io"", ""protocols.io eccDNA nanopore sequencing cancer cells bioinformatics pipeline"", ""protocols.io Decoil AmpliconArchitect CoRAL eccDNA ecDNA nanopore long-read cancer protocol"", ""protocols.io \""extrachromosomal DNA\"" OR \""eccDNA\"" OR \""ecDNA\"" \""nanopore\"" \""graph\"" cancer oncogene amplification"", ""protocols.io \""circular DNA\"" OR \""eccDNA\"" OR \""ecDNA\"" nanopore \""breakpoint graph\"" OR \""graph-based\"" cancer amplification workflow""]","[""https://www.protocols.io/view/detection-and-validation-of-circular-dna-fragments-using-nanopore-sequencing-snakemake-graph-theoretic-b4skqve"", ""https://www.protocols.io/view/decoil-reconstructing-extrachromosomal-dna-structural-heterogeneity-from-long-read-nanopore-sequencing-data-cze7x5n"", ""https://www.protocols.io/view/coral-complete-reconstruction-of-amplifications-with-long-reads-ecDNA-nanopore-dx7vxkn"", ""https://www.protocols.io/view/cresil-long-read-whole-genome-sequencing-eccdna-identification-cancer-cells-b4zsqf4e"", ""https://www.protocols.io/view/ecc-finder-extrachromosomal-circular-dna-nanopore-long-read-sequencing-pipeline-b5sdq8e"", ""https://www.protocols.io/view/oxford-nanopore-long-read-sequencing-for-identific-dccs2swe"", ""https://www.protocols.io/view/circle-seq-long-read-nanopore-eccDNA-enrichment-cancer-amplicon-detection-bvz9n786"", ""https://www.protocols.io/view/ultra-long-read-sequencing-protocol-for-oxford-nan-bnmymc7w"", ""https://www.protocols.io/view/high-throughput-nanopore-sequencing-of-cell-free-d-csb7warn"", ""https://www.protocols.io/view/protocol-of-dna-extraction-for-nanopore-long-reads-bzbdp2i6""]",False,
30052755,6285,"[""protocols.io R tool visualizing comparing QC metrics Oxford Nanopore MinION flowcell sequencing runs"", ""protocols.io nanopore MinION flowcell quality control visualization R multiple runs"", ""protocols.io MinIONQC R script multiple flowcell QC visualization""]","[""https://www.protocols.io/view/primary-data-analysis-basecalling-demultiplexing-a-cq43vyyn"", ""https://www.protocols.io/view/ont-basecalling-demultiplexing-and-analysis-for-fu-chsmt6c6"", ""https://www.protocols.io/view/primary-data-analysis-basecalling-demultiplexing-a-dm6gpbm88lzp"", ""https://www.protocols.io/view/nanopore-amplicon-sequencing-with-r10-4-1-flow-cel-5qpvo9owbv4o/v1"", ""https://www.protocols.io/view/workflow-for-the-nucleic-acid-based-identification-bwpepdje"", ""https://www.protocols.io/view/workflow-for-the-nucleic-acid-based-identification-bx7nprme"", ""https://www.protocols.io/view/hbv-whole-genome-sequencing-using-oxford-nanopore-d5et83en"", ""https://www.protocols.io/view/setting-a-sequencing-run-with-a-nanopore-minion-an-cf3ctqiw"", ""https://www.protocols.io/view/getcampy-sequencing-protocols-g63wbzgpf"", ""https://www.protocols.io/view/closing-bacterial-genomes-using-the-rapid-sequenci-dmbd42i6""]",False,
33114549,18635|39818,"[""SELEX DNA binding motif CRP transcription factor Thermus thermophilus protocols.io"", ""in vitro selection CRP-family transcription factor extremophile DNA binding site protocol protocols.io"", ""REPSA protocol Thermus thermophilus CRP transcription factor DNA binding protocols.io"", ""protocols.io REPSA restriction endonuclease protection selection amplification transcription factor""]","[""https://www.protocols.io/view/using-restriction-endonuclease-protection-selectio-bp2l6xyrpgqe"", ""https://www.protocols.io/view/restriction-endonuclease-protection-selection-and-bi5ikg4e"", ""https://www.protocols.io/view/design-and-pcr-synthesis-of-infrared-fluorophore-l-wfjfbkn"", ""https://www.protocols.io/view/restriction-endonuclease-protection-assays-using-i-bi5ikg4e"", ""https://www.protocols.io/view/biolayer-interferometry-for-dna-protein-interactio-bx9spr6e"", ""https://www.protocols.io/view/design-and-pcr-synthesis-of-infrared-fluorophore-l-mbdc2i6"", ""https://www.protocols.io/view/repsa-restriction-endonuclease-protection-selectio-n2bvj6n"", ""https://www.protocols.io/view/electrophoretic-mobility-shift-assay-emsa-using-in-bkr2kv8e"", ""https://www.protocols.io/view/pcr-synthesis-of-infrared-fluorophore-labeled-dna-wfjfbkn"", ""https://www.protocols.io/view/identification-of-preferred-dna-binding-sites-for-bp2l6bbrpgqe""]",True,2
33970926,45989,"[""protocols.io toddler gait kinematics soft-soled shoes barefoot spatiotemporal"", ""protocols.io infant walking shoes barefoot gait analysis protocol"", ""protocols.io toddler footwear gait kinematics barefoot Vicon GAITRite Williams""]","[""https://www.protocols.io/view/understanding-the-impact-of-sole-soled-footwear-on-3byl4k9njvo5/v1"", ""https://www.protocols.io/view/protocol-3d-gait-analysis-using-overground-approac-b2axqafn"", ""https://www.protocols.io/view/protocol-3d-gait-analysis-using-treadmill-approach-b2brqam6"", ""https://www.protocols.io/view/3d-gait-analysis-children-barefoot-footwear-kinematics"", ""https://www.protocols.io/view/pediatric-gait-analysis-spatiotemporal-parameters-barefoot-shod"", ""https://www.protocols.io/view/toddler-gait-analysis-vicon-gaitrite-barefoot-footwear"", ""https://www.protocols.io/view/in-shoe-foot-kinematics-toddler-soft-sole-shoe-protocol"", ""https://www.protocols.io/view/gait-analysis-newly-walking-children-shoe-conditions"", ""https://www.protocols.io/view/lower-limb-kinematics-toddler-walking-barefoot-shod-comparison"", ""https://www.protocols.io/view/spatiotemporal-gait-parameters-children-footwear-barefoot""]",True,1
32333689,24517,"[""protocols.io strontium oxygen carbon isotope human tooth enamel caries forensic"", ""protocols.io enamel isotope sampling third molar archaeological mobility"", ""protocols.io strontium isotope enamel TIMS sampling intraindividual variation caries"", ""protocols.io dental enamel oxygen carbon isotope IRMS archaeological mobility sampling protocol""]","[""https://www.protocols.io/view/chromatographic-separation-of-strontium-isotopes-i-3byl42yrrvo5/v1"", ""https://www.protocols.io/view/chromatographic-separation-of-strontium-in-archaeo-dfuq3nvw.html"", ""https://www.protocols.io/view/multi-proxy-sampling-protocol-for-teeth-from-archa-cuwcwxaw.html"", ""https://www.protocols.io/view/chromatographic-separation-of-neodymium-isotopes-i-xzmfp46.html"", ""https://www.protocols.io/view/enamel-sampling-for-strontium-isotope-analysis-bp2l6286"", ""https://www.protocols.io/view/tooth-enamel-preparation-for-stable-isotope-analys-bcuhiwt6"", ""https://www.protocols.io/view/stable-isotope-analysis-of-tooth-enamel-carbonate-6qpvr4n2"", ""https://www.protocols.io/view/preparation-of-dental-enamel-for-87sr-86sr-analysis-yxmvmn86"", ""https://www.protocols.io/view/oxygen-and-carbon-isotope-analysis-of-tooth-enamel-bqf4mtqw"", ""https://www.protocols.io/view/sample-preparation-for-sr-isotope-analysis-of-arch-n92ldmze6""]",True,1
39251619,2344,"[""Malassezia yeast cell cycle flow cytometry DAPI propidium iodide nuclear staining protocol site:protocols.io"", ""protocols.io fungal yeast cell cycle analysis flow cytometry DAPI PI staining thick cell wall"", ""protocols.io Malassezia flow cytometry cell cycle DNA staining lipid wall permeabilization"", ""protocols.io yeast cell cycle DAPI staining zymolyase cell wall digestion flow cytometry fungal""]","[""https://www.protocols.io/view/propidium-iodide-cell-cycle-staining-protocol-dm6gpb4jlzpn/v3"", ""https://www.protocols.io/view/propidium-iodide-cell-cycle-staining-protocol-bacyiaxw"", ""https://www.protocols.io/view/Yeast-DAPI-Staining-eigbcbw"", ""https://www.protocols.io/view/basic-instructions-for-running-cell-cycle-analysis-14egn3xypl5d/v1"", ""https://www.protocols.io/view/fixation-of-yeast-cells-for-rna-fish-b9ifr4bn.html"", ""https://www.protocols.io/view/flow-cytometry-assay-and-cell-staining-protocol-jtpcnmn"", ""https://www.protocols.io/view/intracellular-flow-cytometry-staining-protocol-bac7iazn"", ""https://www.protocols.io/view/intracellular-flow-cytometry-staining-protocol-tknekve"", ""https://www.protocols.io/view/cell-surface-flow-cytometry-staining-protocol-baa9iah6"", ""https://www.protocols.io/view/flow-cytometry-measurements-of-lipid-peroxidation-dm6gp92x1vzp/v1""]",True,3
28346450,121864,"[""protocols.io CLIR-MS crosslinking isotope-labeled RNA mass spectrometry protein-RNA contact sites"", ""protocols.io protein-RNA crosslinking tandem mass spectrometry single amino acid nucleotide resolution RNP"", ""protocols.io CLIR-MS crosslinking isotope-labelled RNA tandem mass spectrometry protocol"", ""site:protocols.io CLIR-MS protein RNA crosslinking isotope mass spectrometry""]","[""https://www.protocols.io/view/clir-ms-crosslinking-of-isotope-labeled-rna-and-ta-bpq5mmy6"", ""https://www.protocols.io/view/uv-crosslinking-of-protein-rna-complexes-and-sampl-brvnm556"", ""https://www.protocols.io/view/protein-rna-crosslinking-mass-spectrometry-xl-ms-w-b4ksqww6"", ""https://www.protocols.io/view/identification-of-protein-rna-contact-sites-by-uv-bscsnabe"", ""https://www.protocols.io/view/uv-crosslinking-and-immunoprecipitation-clip-for-r-bpvsmn46"", ""https://www.protocols.io/view/crosslinking-mass-spectrometry-xl-ms-sample-prepar-bt9gnr3w"", ""https://www.protocols.io/view/uv-rna-protein-crosslinking-and-tandem-ms-analysis-bqbamsne"", ""https://www.protocols.io/view/rnp-complex-purification-uv-crosslinking-and-mass-bw4spgwe"", ""https://www.protocols.io/view/stable-isotope-labeling-of-rna-for-structural-stud-bx9tpr6n"", ""https://www.protocols.io/view/protein-rna-xl-ms-workflow-for-ribonucleoprotein-c-bz4sp8e6""]",False,
32854500,21741|27409,"[""protocols.io R package fluorescence calibration flow cytometry plate reader GFP E. coli absolute units"", ""protocols.io fcsscaling OR flowcal OR calibration fluorescence units GFP engineered bacteria protocol"", ""protocols.io FlopR R package calibration normalization flow cytometry plate reader protocol"", ""protocols.io FlopR fluorescence calibration MEFL GFP E. coli microspheres fluorescein protocol page""]","[""https://www.protocols.io/view/calibration-protocol-plate-reader-fluorescence-cal-6zrhf56"", ""https://www.protocols.io/view/calibration-protocol-plate-reader-fluorescence-cal-x54v986dpl3e/v2"", ""https://www.protocols.io/view/igem-calibration-protocol-flow-cytometry-fluoresce-2pcgdiw"", ""https://www.protocols.io/view/calibration-protocol-fluorescence-standard-curve-w-5n6g5he"", ""https://www.protocols.io/view/calibration-protocol-fluorescence-standard-curve-w-zgkf3uw"", ""https://www.protocols.io/view/igem-calibration-protocol-red-fluorescent-proteins-bcdjis4n"", ""https://protocols.io/view/fluorometric-real-time-quantification-of-in-vivo-f-nrxdd7n"", ""https://www.protocols.io/view/gfp-rfp-plate-reader-assay-784hryw""]",True,1
34740201,19271|19927|36536,"[""protocols.io computational modeling electrical stimulation rat visceral nerve fascicle axon diameter"", ""protocols.io simulate nerve cuff electrode recording rat autonomic nerve anatomical variability"", ""protocols.io ASCENT pipeline visceral nerve stimulation rat computational model fascicle axon"", ""protocols.io compound nerve action potential simulation rat vagus splanchnic nerve axon diameter distribution"", ""protocols.io ASCENT nerve stimulation modeling pipeline Pelot Grill Duke visceral rat""]","[""https://www.protocols.io/view/ascent-automated-simulations-to-characterize-elec-b4mxqu7n"", ""https://www.protocols.io/view/computational-modeling-of-electrical-stimulation-o-kxygx9yw"", ""https://www.protocols.io/view/quantified-morphology-of-the-rat-vagus-nerve-for-c-bvt8n6rw"", ""https://www.protocols.io/view/pypns-multiscale-simulation-of-a-peripheral-nerve-bvt4n6rw"", ""https://www.protocols.io/view/computational-models-of-compound-nerve-action-pote-8epv5xx57g1b"", ""https://www.protocols.io/view/acute-stimulation-emg-and-neural-recording-from-a-dukp6uvn"", ""https://www.protocols.io/view/protocol-for-construction-of-rat-nerve-stimulation-bc2hiyb6"", ""https://www.protocols.io/view/simulation-of-peripheral-nerve-stimulation-with-cu-bvmjn44n"", ""https://www.protocols.io/view/finite-element-modeling-of-peripheral-nerve-stimul-b4krquw6"", ""https://www.protocols.io/view/automatic-3d-reconstruction-of-fascicles-in-periph-bvt6n6rw""]",False,
31855083,16985,"[""protocols.io AAV packaged genome sequencing NGS low input"", ""protocols.io AAV genome integrity sequencing next generation sequencing protocol"", ""protocols.io AAV vector genome sequencing ITR truncation mutation Illumina library preparation"", ""protocols.io AAV capsid DNA extraction DNase treatment sequencing quality control""]","[""https://www.protocols.io/view/preparation-of-viral-sequencing-library-for-illumi-c8mzzu76.html"", ""https://www.protocols.io/view/library-tissue-handling-viral-dna-extraction-and-n-cukswuwe.html"", ""https://www.protocols.io/view/tn5-duplex-sequencing-tn5-duplex-seq-for-low-input-6qpvr3nbzvmk/v1"", ""https://www.protocols.io/view/pcr-amplicon-next-generation-sequencing-36wgq64olk57/v3"", ""https://www.protocols.io/view/in-vivo-aav-mpra-g3rybym7x.html"", ""https://www.protocols.io/view/aav-titration-with-qpcr-dkps4vne"", ""https://www.protocols.io/view/preparation-of-viral-sequencing-library-for-illumi-daiy2cfw.html"", ""https://www.protocols.io/view/individual-aav-production-and-purification-ctzjwp4n"", ""https://www.protocols.io/view/aav-capsid-library-production-ctzkwp4w"", ""https://www.protocols.io/view/aav-purification-protocol-with-iodixanol-gradient-b39zqr76.html""]",False,
34462260,14815|19145,"[""beta-cell SENP1 knockout incretin insulin secretion high-fat diet protocols.io"", ""SENP1 pancreatic beta cell GLP-1 GIP incretin glucose tolerance protocol"", ""SENP1 beta cell knockout incretin GLP-1 insulin secretion oral glucose tolerance protocol site:protocols.io"", ""protocols.io MacDonald SENP1 beta cell islet exocytosis insulin secretion incretin high fat diet mouse""]","[""https://www.protocols.io/view/seahorse-protocol-for-islets-using-xfe24-analyzer-b5v7q69n"", ""https://dx.doi.org/10.17504/protocols.io.n2bvj63p5lk5/v1"", ""https://www.protocols.io/view/beta-cell-exocytosis-patch-clamp-protocol-incretin-senp1"", ""https://www.protocols.io/view/oral-glucose-tolerance-test-ogtt-mouse-high-fat-di"", ""https://www.protocols.io/view/islet-isolation-mouse-pancreatic-islet-insulin-sec"", ""https://www.protocols.io/view/glucose-stimulated-insulin-secretion-gsis-mouse-is"", ""https://www.protocols.io/view/exendin-4-glp-1-receptor-agonist-beta-cell-exocyto"", ""https://www.protocols.io/view/dpp4-inhibitor-mk-0626-in-vivo-glucose-tolerance-m"", ""https://www.protocols.io/view/mouse-islet-isolation-and-static-insulin-secretion"", ""https://www.protocols.io/view/intraperitoneal-glucose-tolerance-test-ipgtt-high-""]",False,
42524695,252068,"[""protocols.io scRNA-seq transcription factor metabolite metabolic flux joint latent factor model cancer"", ""protocols.io single cell multi-omics transcription factor activity metabolic flux integration cancer cell states"", ""protocols.io MOFA scRNA-seq transcription factor metabolite metabolic flux cancer cell states"", ""protocols.io joint latent factor model scRNA-seq TF activity metabolomics cancer functional states protocol""]","[""https://www.protocols.io/view/integrating-transcription-factor-activity-metaboli-b2r3qd86"", ""https://www.protocols.io/view/multi-omics-factor-analysis-mofa-scRNA-seq-transcr-bp2l6dbe"", ""https://www.protocols.io/view/joint-latent-factor-modeling-scrna-seq-tf-activity-cx2vxge6"", ""https://www.protocols.io/view/scfba-single-cell-flux-balance-analysis-cancer-sub-bpq5mmy6"", ""https://www.protocols.io/view/metaflux-metabolic-flux-inference-scrna-seq-tumor-b4p9qvn6"", ""https://www.protocols.io/view/integrate-multi-omics-metabolic-flux-transcription-czdax26"", ""https://www.protocols.io/view/compass-single-cell-metabolic-flux-scrna-seq-cance-bt6bnrqe"", ""https://www.protocols.io/view/scrna-seq-transcription-factor-metabolomics-latent-bvmsn546"", ""https://www.protocols.io/view/functional-cell-state-characterization-scrna-seq-m-b4g2qt8e"", ""https://www.protocols.io/view/multi-modal-single-cell-omics-tf-metabolite-flux-i-n2bvj8e6""]",False,
36360315,46880,"[""protocols.io vitamin K deficiency differentially expressed genes lncRNA systems genetics myocardial infarction renal failure prostate cancer"", ""protocols.io differentially expressed genes pathogenic variants shared disease lncRNA systems genetics protocol"", ""protocols.io \""vitamin K\"" \""differentially expressed genes\"" \""systems genetics\"" RNA-Seq variant analysis protocol"", ""protocols.io Suravajhala vitamin K RNA-Seq DEG lncRNA comorbidities myocardial infarction renal failure prostate cancer""]",[],False,
38902223,122074,"[""H3.3 histone variant B cell plasma cell differentiation chromatin accessibility mice protocols.io"", ""site:protocols.io H3F3 histone H3.3 B cell differentiation chromatin ATAC-seq"", ""protocols.io Saito Harada H3.3 plasma cell B cell differentiation ATAC ChIP-seq mouse"", ""protocols.io H3.3 ChIP-seq ATAC-seq B cell plasma cell histone variant mouse immunology""]",[],False,
34457243,36007,[],[],False,
34484143,37580,"[""protocols.io FTHFS gene amplicon sequencing acetogenic bacteria biogas digester"", ""protocols.io acetogenic community monitoring biogas FTHFS amplicon sequencing"", ""protocols.io FTHFS amplicon sequencing anaerobic digester acetogen protocol"", ""site:protocols.io acetogen FTHFS biogas digester sequencing community""]","[""https://www.protocols.io/view/high-throughput-sequencing-of-fthfs-gene-amplicons-bqe4mdyw"", ""https://www.protocols.io/view/genomic-dna-extraction-from-anaerobic-digester-sam-bgxkjxkw"", ""https://www.protocols.io/view/fthfs-gene-amplicon-sequencing-for-acetogenic-comm-bp2 hmab6"", ""https://www.protocols.io/view/acetoscan-pipeline-for-fthfs-amplicon-data-analysi-bscfnab6"", ""https://www.protocols.io/view/pcr-amplification-of-fthfs-gene-from-biogas-sample-bw7fphbn"", ""https://www.protocols.io/view/16s-rrna-gene-amplicon-sequencing-of-anaerobic-dig-bpq5mmy6"", ""https://www.protocols.io/view/dna-extraction-and-library-preparation-for-biogas-bqcpmsvw"", ""https://www.protocols.io/view/acetobase-taxonomic-annotation-of-fthfs-amplicon-s-b4krquw6"", ""https://www.protocols.io/view/t-rflp-profiling-of-fthfs-gene-in-anaerobic-digest-bw7ifhbn"", ""https://www.protocols.io/view/microbial-community-profiling-in-biogas-reactors-u-be9fjh3n""]",True,2
39777783,57770|830|845,"[""archaeal virus metagenomics Poseidoniales marine estuary protocols.io"", ""site:protocols.io archaeal virus metagenomics phylogenetic classification"", ""protocols.io magrovirus magroviruses Poseidoniales estuary metagenomics virus recovery"", ""protocols.io viral metagenomics marine archaea virus identification estuary seawater""]","[""https://www.protocols.io/view/Preparation-of-Virus-DNA-from-Seawater-for-Metagen-c28yhv"", ""https://www.protocols.io/view/phylogenetic-read-placement-protocol-dd7729rn.html"", ""https://www.protocols.io/view/viral-metagenomics-a-sequence-independent-single-r-bqbamsan"", ""https://www.protocols.io/view/virsorter-running-protocol-to-identify-viral-seque-bqc4msyw"", ""https://www.protocols.io/view/marine-viral-metagenomics-tangential-flow-filtratio-bpf5mjn6"", ""https://www.protocols.io/view/checkv-end-to-end-workflow-for-viral-genome-quality-rm7vz8p2ogx1/v1"", ""https://www.protocols.io/view/genome-centric-metagenomics-pipeline-for-recovering-6qpvr4n87vmk/v1"", ""https://www.protocols.io/view/viral-identification-from-metagenomes-using-vibrant-bpf5mjr6"", ""https://www.protocols.io/view/sequence-based-virus-host-prediction-iphiveho-x-bqb9msr6"", ""https://www.protocols.io/view/whole-metagenome-shotgun-sequencing-of-viral-commun-bsc4nawv""]",False,
36149401,50829,"[""phosphorylated Rab8 Rab10 LRRK2 feed-forward loop kinase activity membrane Parkinson's"", ""protocols.io LRRK2 Rab8 Rab10 phosphorylation kinase assay protocol"", ""protocols.io LRRK2 Rab8 Rab10 membrane recruitment feed-forward lipid bilayer reconstitution""]",[],False,
37425958,256618,"[""TMEM127 loss RET receptor endocytosis surface accumulation pheochromocytoma protocols.io"", ""TMEM127 RET endocytosis signaling pheochromocytoma protocol site:protocols.io"", ""TMEM127 RET clathrin endocytosis membrane dynamics protocol protocols.io Dahia"", ""protocols.io RET receptor tyrosine kinase endocytosis surface biotinylation flow cytometry pheochromocytoma""]","[""https://www.protocols.io/view/cell-surface-biotinylation-x54v9d9o4g3e/v1"", ""https://www.protocols.io/view/transferrin-uptake-assay-to-measure-clathrin-media-n2bvj38d5lk5/v1"", ""https://www.protocols.io/view/cell-surface-flow-cytometry-staining-protocol-baa9iah6"", ""https://www.protocols.io/view/receptor-internalization-assay-by-flow-cytometry-bpk5mky6"", ""https://www.protocols.io/view/endosome-isolation-protocol-yxmvmn96/v1"", ""https://www.protocols.io/view/clathrin-coated-pit-assembly-assay-total-internal-r-n92ldz6x9l5b/v1"", ""https://www.protocols.io/view/rtk-degradation-assay-immunoblotting-after-cyclohe-rm7vzjy59lx1/v1"", ""https://www.protocols.io/view/fluorescence-recovery-after-photobleaching-frap-as-bcubiwte"", ""https://www.protocols.io/view/proximity-ligation-assay-pla-for-protein-protein-i-bscsnbde"", ""https://www.protocols.io/view/crispr-cas9-knockout-of-transmembrane-proteins-in-n-bp3mmnq6""]",False,
37337093,121261,"[""GABA inhibition vasopressin neurons supraoptic nucleus bile duct ligation cirrhotic rats intracellular chloride protocols.io"", ""protocols.io GABA vasopressin supraoptic nucleus chloride dysregulation cirrhosis"", ""protocols.io bile duct ligation supraoptic nucleus vasopressin GABA KCC2 NKCC1 patch clamp"", ""site:protocols.io supraoptic nucleus vasopressin GABA chloride cirrhosis"", ""protocols.io GABA supraoptic nucleus vasopressin bile duct ligation gramicidin perforated patch chloride cirrhosis rat""]",[],False,
32169215,121580,"[""SRPK1 protamine phosphorylation histone exchange chromatin reprogramming fertilized mouse oocytes protocols.io"", ""protocols.io protamine histone exchange chromatin reprogramming mouse zygote SRPK1"", ""protocols.io SRPK1 protamine phosphorylation mouse oocyte zygote chromatin"", ""protocols.io protamine histone exchange mouse zygote fertilization protocol""]",[],False,
42539119,22617,"[""C. elegans LITE-1 photoreceptor chemoreceptor diacetyl avoidance protocol protocols.io"", ""protocols.io C. elegans LITE-1 gustatory receptor light avoidance behavior assay"", ""protocols.io \""LITE-1\"" OR \""diacetyl avoidance\"" C. elegans chemoreceptor behavior assay protocol"", ""protocols.io C. elegans light avoidance chemotaxis olfactory assay diacetyl photoreceptor""]","[""https://www.protocols.io/view/c-elegans-chemotaxis-assay-bp2l6b7xlgqe/v1"", ""https://www.protocols.io/view/chemical-ecology-in-the-classroom-chemotaxis-assay-e6nvwde9zlmk/v1"", ""https://www.protocols.io/view/disease-model-screen-protocol-bp2l6b7x5gqe/v1"", ""https://www.protocols.io/view/c-elegans-light-avoidance-assay-protocol-8epv5jn85l1b/v1"", ""https://www.protocols.io/view/c-elegans-olfactory-avoidance-assay-diacetyl-smell-6qpvr4n7bvmk/v1"", ""https://www.protocols.io/view/c-elegans-behavioral-assay-photosensation-uv-avoid-yxmvm3n8/v1"", ""https://www.protocols.io/view/microfluidics-fluorescence-microscopy-c-elegans-ch-b4ibqce6/v1"", ""https://www.protocols.io/view/c-elegans-nematode-maintenance-and-synchronization-14egnz/v1"", ""https://www.protocols.io/view/c-elegans-smell-on-a-stick-sos-avoidance-assay-octanol-n2bvj8n6/v1"", ""https://www.protocols.io/view/population-chemotaxis-assay-c-elegans-6qpvr3e6/v1""]",False,
