query,citing_pmid,citing_abstract,ground_truth_title,confirmed_protocol_ids,self_return_position,ground_truth_link,exact_match_position,top1_title,top1_sts_title_only,top1_sts_title_plus_desc,top1_sts_vs_source_paper,best_sts_title_only,best_sts_title_plus_desc,best_sts_vs_source_paper,best_sts_position,best_sts_title
Sequencing a complete genome from a single tiny marine worm specimen of a rare nemertodermatid xenacoelomorph using low-input long-read methods for comparative genomics.,37829276,"Background Xenacoelomorpha is a marine phylum of microscopic worms that is an important model system for understanding the evolution of key bilaterian novelties, such as the nervous or excretory systems. Nevertheless, Xenacoelomorpha genomics has been restricted to the few species that either can be cultured in the lab or are centimetres long. Thus far, no genomes are available for Nemertodermatida, one of the phylum’s main clades and whose origin has been dated more than 400 million years ago. Results We present the first nemertodermatid genome sequenced from a single specimen of Nemertoderma westbladi. Although genome contiguity remains challenging (N50: 48 kbps), it is very complete (BUSCO: 81.4%, Metazoa; 91.8%, Eukaryota) and the quality of the annotation allows fine-detail analyses of genome evolution. Acoelomorph genomes seem to be conserved in terms of the percentage of repeats, number of genes, number of exons per gene and intron size. In addition, a high fraction of genes present in both protostomes and deuterostomes are absent in Acoelomorpha. Interestingly, we show that all genes related to the excretory system are present in Xenacoelomorpha but Osr, a key element in the development of these organs and whose acquisition might explain the origin of the specialised excretory system. Conclusions Overall, these analyses highlight the potential of the Ultra-Low Input DNA protocol and HiFi to generate high-quality genomes from single animals, even for relatively large genomes, making it a feasible option for sequencing challenging taxa, which will be an exciting resource for comparative genomics analyses.",DNA extraction (Salting out),"18087,239646",0,https://www.protocols.io/view/dna-extraction-salting-out-vwfe7bn,0,Picogram input multimodal sequencing (PiMmS) ,0.132,0.3566,0.4098,0.55,0.5342,0.4474,8,HMW DNA extraction from frozen nematodes (bulk)
How do I optimize mammosphere assay seeding density to avoid cell aggregation when measuring breast cancer stem cell frequency in MCF-7 cells?,30268511,"Summary The mammosphere assay has become widely employed to quantify stem-like cells in a population. However, the problem is there is no standard protocol employed by the field. Cell seeding densities of 1,000 to 100,000 cells/mL have been reported. These high densities lead to cellular aggregation. To address this, we have individually tracked 1,127 single MCF-7 and 696 single T47D human breast tumor cells by eye over the course of 14 days. This tracking has given us detailed information for the commonly used endpoints of 5, 7, and 14 days that is unclouded by cellular aggregation. This includes mean sphere sizes, sphere-forming efficiencies, and a well-defined minimum size for both lines. Importantly, we have correlated early cell division with eventual sphere formation. At 24 hr post seeding, we can predict the total spheres on day 14 with 98% accuracy in both lines. This approach removes cell aggregation and potentially shortens a 5- to 14-day assay to a 24 hours.",Tumorsphere Passage for Breast Cancer Stem Cells,121476,1,https://www.protocols.io/view/tumorsphere-passage-for-breast-cancer-stem-cells-d2vc8e2w,2,Tumorsphere Passage for Breast Cancer Stem Cells,1.0,0.9933,0.6402,1.0,0.9933,0.6402,2,Tumorsphere Passage for Breast Cancer Stem Cells
Newly isolated lytic phage active against multidrug-resistant Pseudomonas aeruginosa strains characterized genomically and tested in Galleria mellonella infection model for phage therapy applications.,40872802,"Antibiotic-resistant Pseudomonas aeruginosa presents a critical global health challenge, particularly in hospital-acquired infections. Bacteriophages offer a promising therapeutic avenue due to their ability to target and lyse resistant strains. This study characterizes Pseudomonas phage Banzai, a newly isolated Pbunavirus (family Lindbergviridae) with lytic activity against multiple P. aeruginosa isolates, including multidrug-resistant strains. Genomic analysis revealed a 66,189 bp genome, lacking antibiotic resistance or virulence factors, and suggested a headful packaging mechanism and the presence of a bidirectional component in the replication. In vivo experiments using Galleria mellonella showed therapeutic potential, significantly improving larval survival (87% at 24 h). Host range analysis revealed activity against 13 of 30 P. aeruginosa isolates, including members of O1, O3, O5 and O6 in silico predicted serogroups. Phylogenomic analyses place phage Banzai within the genus Pbunavirus, sharing 94.8% intergenomic similarity with its closest relatives, supporting its classification as a novel species. These findings highlight phage Banzai as a potential candidate for phage therapy, demonstrating genomic stability, a strictly lytic lifestyle, and in vivo efficacy.",Isolation and life cycle characterization of lytic viruses infecting heterotrophic bacteria and cyanobacteria,1744,1,https://www.protocols.io/view/Isolation-and-life-cycle-characterization-of-lytic-dxq7mv,0,Characterisation of a new virulent phage isolated from Hainan Island with potential against multidrug-resistant Pseudomonas aeruginosa infections.,0.3679,0.4776,0.6683,0.3088,0.6489,0.6162,9,Protocol collection: Phage DNA isolation and chemical analysis
How to extract high molecular weight DNA from filamentous fungi for long-read third-generation sequencing to get complete genome assemblies?,35438621,"During the last two decades, whole-genome sequencing has revolutionized genetic research in all kingdoms, including fungi. More than 1000 fungal genomes have been submitted to sequence databases, mostly obtained through second generation short-read DNA sequencing. As a result, highly fragmented genome drafts have typically been obtained. However, with the emergence of third generation long-read DNA sequencing, the assembly challenge can be overcome and highly contiguous assemblies obtained. Such attractive results, however, are extremely dependent on the ability to extract highly purified high molecular weight (HMW) DNA. Extraction of such DNA is currently a significant challenge for all species with cell walls, not least fungi. In this study, four isolates of filamentous ascomycetes (Apiospora pterospermum, Aspergillus sp. (subgen. Cremei), Aspergillus westerdijkiae, and Penicillium aurantiogriseum) were used to develop extraction and purification methods that result in HMW DNA suitable for third generation sequencing. We have tested and propose two straightforward extraction methods based on treatment with either a commercial kit or traditional phenol-chloroform extraction both in combination with a single commercial purification method that result in high quality HMW DNA from filamentous ascomycetes. Our results demonstrated that using these DNA extraction methods and coverage, above 75 x of our haploid filamentous ascomycete fungal genomes result in complete and contiguous assemblies.",Large Volume Fungal Genomic DNA Extraction Protocol for PacBio,"12875,38624,54341",4,https://www.protocols.io/view/large-volume-fungal-genomic-dna-extraction-protoco-qtjdwkn,1,Large Volume Fungal Genomic DNA Extraction Protocol for PacBio,1.0,0.995,0.6677,1.0,0.995,0.6677,1,Large Volume Fungal Genomic DNA Extraction Protocol for PacBio
"How are primordial germ cells specified in pig embryos compared to humans, focusing on SOX17, BLIMP1, WNT, and BMP signaling during gastrulation?",28607482,"Human primordial germ cells (hPGCs), the precursors of sperm and eggs, originate during weeks 2–3 of early post-implantation development. Using in vitro models of hPGC induction, recent studies have suggested that there are marked mechanistic differences in the specification of human and mouse PGCs. This may be due in part to the divergence in their pluripotency networks and early post-implantation development. As early human embryos are not accessible for direct study, we considered alternatives including porcine embryos that, as in humans, develop as bilaminar embryonic discs. Here we show that porcine PGCs originate from the posterior pre-primitive-streak competent epiblast by sequential upregulation of SOX17 and BLIMP1 in response to WNT and BMP signalling. We use this model together with human and monkey in vitro models simulating peri-gastrulation development to show the conserved principles of epiblast development for competency for primordial germ cell fate. This process is followed by initiation of the epigenetic program and regulated by a balanced SOX17–BLIMP1 gene dosage. Our combinatorial approach using human, porcine and monkey in vivo and in vitro models provides synthetic insights into early human development.",Simulating gastrulation development and germ cell fate in vitro using human and monkey pluripotent stem cells,121900,1,https://www.protocols.io/view/simulating-gastrulation-development-and-germ-cell-d3ak8icw,4,The balance between NANOG and SOX17 mediated by TET proteins regulates specification of human primordial germ cell fate.,0.3746,0.5287,0.6447,1.0,1.0,0.7548,4,Simulating gastrulation development and germ cell fate in vitro using human and monkey pluripotent stem cells
Comparing cost-effectiveness of oyster reef and wetland restoration versus seawalls for reducing coastal flood risk along the US Gulf Coast under climate change scenarios.,29641611,"Coastal risks are increasing from both development and climate change. Interest is growing in the protective role that coastal nature-based measures (or green infrastructure), such as reefs and wetlands, can play in adapting to these risks. However, a lack of quantitative information on their relative costs and benefits is one principal factor limiting their use more broadly. Here, we apply a quantitative risk assessment framework to assess coastal flood risk (from climate change and economic exposure growth) across the United States Gulf of Mexico coast to compare the cost effectiveness of different adaptation measures. These include nature-based (e.g. oyster reef restoration), structural or grey (e.g., seawalls) and policy measures (e.g. home elevation). We first find that coastal development will be a critical driver of risk, particularly for major disasters, but climate change will cause more recurrent losses through changes in storms and relative sea level rise. By 2030, flooding will cost $134–176.6 billion (for different economic growth scenarios), but as the effects of climate change, land subsidence and concentration of assets in the coastal zone increase, annualized risk will more than double by 2050 with respect to 2030. However, from the portfolio we studied, the set of cost-effective adaptation measures (with benefit to cost ratios above 1) could prevent up to $57–101 billion in losses, which represents 42.8–57.2% of the total risk. Nature-based adaptation options could avert more than $50 billion of these costs, and do so cost effectively with average benefit to cost ratios above 3.5. Wetland and oyster reef restoration are found to be particularly cost-effective. This study demonstrates that the cost effectiveness of nature-based, grey and policy measures can be compared quantitatively with one another, and that the cost effectiveness of adaptation becomes more attractive as climate change and coastal development intensifies in the future. It also shows that investments in nature-based adaptation could meet multiple objectives for environmental restoration, adaptation and flood risk reduction.",Assessing Coastal Risk and the Economics of Climate Adaptation,9528,1,https://www.protocols.io/view/assessing-coastal-risk-and-the-economics-of-climat-miyc4fw,3,On the cost-effectiveness of Nature-based Solutions for reducing disaster risk.,0.4617,0.5164,0.64,1.0,0.9919,0.6252,3,Assessing Coastal Risk and the Economics of Climate Adaptation
Genome-scale metabolic model with protein structures for Staphylococcus aureus USA300 to predict gene essentiality and metabolic responses under different growth conditions.,30625152,"S. aureus is classified as a serious threat pathogen and is a priority that guides the discovery and development of new antibiotics. Despite growing knowledge of S. aureus metabolic capabilities, our understanding of its systems-level responses to different media types remains incomplete. Here, we develop a manually reconstructed genome-scale model (GEM-PRO) of metabolism with 3D protein structures for S. aureus USA300 str. JE2 containing 854 genes, 1,440 reactions, 1,327 metabolites and 673 3-dimensional protein structures. Computations were in 85% agreement with gene essentiality data from random barcode transposon site sequencing (RB-TnSeq) and 68% agreement with experimental physiological data. Comparisons of computational predictions with experimental observations highlight: 1) cases of non-essential biomass precursors; 2) metabolic genes subject to transcriptional regulation involved in Staphyloxanthin biosynthesis; 3) the essentiality of purine and amino acid biosynthesis in synthetic physiological media; and 4) a switch to aerobic fermentation upon exposure to extracellular glucose elucidated as a result of integrating time-course of quantitative exo-metabolomics data. An up-to-date GEM-PRO thus serves as a knowledge-based platform to elucidate S. aureus’ metabolic response to its environment.",Reciprocal Best Hit BLAST,13137,2,https://www.protocols.io/view/reciprocal-best-hit-blast-q3rdym6,0,GEMsembler: consensus model assembly and structural comparison of genome-scale metabolic models across tools improve functional performance.,0.1552,0.2925,0.6481,0.1395,0.4902,0.4185,6,Querying for Bacterial Pathogen Genomic Data at NCBI
Convert arbitrary fluorescence units from microplate reader measurements into absolute protein concentrations per bacterial cell using fluorescent protein calibrants without requiring protein purification.,36329019,"This paper presents a generalisable method for the calibration of fluorescence readings on microplate readers, in order to convert arbitrary fluorescence units into absolute units. FPCountR relies on the generation of bespoke fluorescent protein (FP) calibrants, assays to determine protein concentration and activity, and a corresponding analytical workflow. We systematically characterise the assay protocols for accuracy, sensitivity and simplicity, and describe an ‘ECmax’ assay that outperforms the others and even enables accurate calibration without requiring the purification of FPs. To obtain cellular protein concentrations, we consider methods for the conversion of optical density to either cell counts or alternatively to cell volumes, as well as examining how cells can interfere with protein counting via fluorescence quenching, which we quantify and correct for the first time. Calibration across different instruments, disparate filter sets and mismatched gains is demonstrated to yield equivalent results. It also reveals that mCherry absorption at 600 nm does not confound cell density measurements unless expressed to over 100,000 proteins per cell. FPCountR is presented as pair of open access tools (protocol and R package) to enable the community to use this method, and ultimately to facilitate the quantitative characterisation of synthetic microbial circuits. A challenge in synthetic biology is the empirical characterisation of genetic parts. Here the authors present FPCountR, a validated method and accompanying R package that enables the precise quantification of fluorescent protein reporters per bacterial cell to be enumerated in ‘proteins per cell’ or nanomolar units without requiring protein purification.",FPCount protocol - in-lysate (purification free) protocol,54885,1,https://www.protocols.io/view/fpcount-protocol-in-lysate-purification-free-proto-bzudp6s6,0,Microplate reader operating procedure,0.1853,0.5848,0.631,0.681,0.886,0.7717,5,FPCount protocol - Full protocol
Intratracheal LPS mouse model of acute lung injury histopathology in aged C57BL/6J mice to study ARDS pathogenesis in elderly.,42007381,"Acute lung injury (ALI) and acute respiratory distress syndrome (ARDS) are clinically important inflammatory lung conditions that contribute to substantial morbidity and mortality in humans, notably in the elderly population. Direct lung infection is a common cause of ALI and can be modeled by experimental administration of lipopolysaccharide (LPS) bacterial endotoxin. Acute pulmonary pathology observations are presented using an intratracheal LPS-induced ALI experimental model in aged C57BL/6J mice. Collectively the histopathologic findings in LPS treated mice demonstrate several key characteristic features of ALI, supporting the translational relevance of this model for investigating the pathogenesis of lung injury in older adults.",Mouse Models of Acute Lung Injury and ARDS,239679,1,https://www.protocols.io/view/mouse-models-of-acute-lung-injury-and-ards-hna7b5ahp,3,"LPS-induce acute lung injury (LPS nebulization, mice)",0.6936,0.6301,0.6342,1.0,0.9625,0.6924,3,Mouse Models of Acute Lung Injury and ARDS
How does climate variability influence reproductive isolation and hybridization dynamics between Mimulus guttatus and Mimulus nasutus in natural admixed populations using whole-genome sequencing?,40163522,"Hybridization among taxa impacts a variety of evolutionary processes from adaptation to extinction. We seek to understand both patterns of hybridization across taxa and the evolutionary and ecological forces driving those patterns. To this end, we use whole-genome low-coverage sequencing of 458 wild-grown and 1565 offspring individuals to characterize the structure, stability, and mating dynamics of admixed populations of Mimulus guttatus and Mimulus nasutus across a decade of sampling. In three streams, admixed genomes are common and a M. nasutus organellar haplotype is fixed in M. guttatus, but new hybridization events are rare. Admixture is strongly unidirectional, but each stream has a unique distribution of ancestry proportions. In one stream, three distinct cohorts of admixed ancestry are spatially structured at ~20-50m resolution and stable across years. Mating system provides almost complete isolation of M. nasutus from both M. guttatus and admixed cohorts, and is a partial barrier between admixed and M. guttatus cohorts. Isolation due to phenology is near-complete between M. guttatus and M. nasutus. Phenological isolation is a strong barrier in some years between admixed and M. guttatus cohorts, but a much weaker barrier in other years, providing a potential bridge for gene flow. These fluctuations are associated with differences in water availability across years, supporting a role for climate in mediating the strength of reproductive isolation. Together, mating system and phenology accurately predict fluctuations in assortative mating across years, which we estimate directly using paired maternal and offspring genotypes. Climate-driven fluctuations in reproductive isolation may promote the longer-term stability of a complex mosaic of hybrid ancestry, preventing either complete isolation or complete collapse of species barriers.",96-well CTAB-chloroform DNA extraction,37534,4,https://www.protocols.io/view/96-well-ctab-chloroform-dna-extraction-bgv6jw9e,3,Whole Genome Sequencing Protocol using Illumina NextSeq 1000 Platform,0.1785,0.3315,0.3115,1.0,0.9871,0.4152,3,96-well CTAB-chloroform DNA extraction
Identify extrachromosomal circular DNA including oncogene amplifications from nanopore long-read sequencing data using a graph-based bioinformatics pipeline in human cancer cells.,35711922,"Occurrence of extra-chromosomal circular DNA is a phenomenon frequently observed in tumor cells, and the presence of such DNA has been recognized as a marker of adverse outcome across cancer types. We here describe a computational workflow for identification of DNA circles from long-read sequencing data. The workflow is implemented based on the Snakemake workflow management system. Its key step uses a graph-theoretic approach to identify putative circular fragments validated on simulated reads. We then demonstrate robustness of our approach using nanopore sequencing of selectively enriched circular DNA by highly sensitive and specific recovery of plasmids and the mitochondrial genome, which is the only circular DNA in normal human cells. Finally, we show that the workflow facilitates detection of larger circular DNA fragments containing extrachromosomal copies of the MYCN oncogene and the respective breakpoints, which is a potentially useful application in disease monitoring of several cancer types.",Purification and Sequencing of Large Circular DNA from Human Cells,122089,0,https://www.protocols.io/view/purification-and-sequencing-of-large-circular-dna-d3gh8jt6,0,"scCircle-seq unveils the diversity and complexity of circular DNAs in single cells
",0.7028,0.616,0.6058,0.7028,0.616,0.6058,1,"scCircle-seq unveils the diversity and complexity of circular DNAs in single cells
"
Show me an R tool for visualizing and comparing quality control metrics across multiple Oxford Nanopore MinION flowcell sequencing runs.,30052755,"Summary MinIONQC provides rapid diagnostic plots and quality control data from one or more flowcells of sequencing data from Oxford Nanopore Technologies’ MinION instrument. It can be used to assist with the optimisation of extraction, library preparation, and sequencing protocols, to quickly and directly compare the data from many flowcells, and to provide publication‐ready figures summarising sequencing data. Availability and implementation MinIONQC is implemented in R and released under an MIT license. It is available for all platforms from https://github.com/roblanf/minion_qc.",DNA size selection (>1kb) and clean up using an optimized SPRI beads mixture,6285,0,https://www.protocols.io/view/dna-size-selection-1kb-and-clean-up-using-an-optim-idmca46,0,Quality control and preliminary data analysis of Sequencing Data: GalaxyTrakr ONT workflow,0.2755,0.3202,0.6251,0.0765,0.4156,0.6317,9,Quality Control
Find the DNA binding motif of a CRP-family transcription factor in Thermus thermophilus using in vitro selection to identify regulated genes in this extremophile.,33114549,"Transcription factors (TFs) have been extensively researched in certain well-studied organisms, but far less so in others. Following the whole-genome sequencing of a new organism, TFs are typically identified through their homology with related proteins in other organisms. However, recent findings demonstrate that structurally similar TFs from distantly related bacteria are not usually evolutionary orthologs. Here we explore TTHB099, a cAMP receptor protein (CRP)-family TF from the extremophile Thermus thermophilus HB8. Using the in vitro iterative selection method Restriction Endonuclease Protection, Selection and Amplification (REPSA), we identified the preferred DNA-binding motif for TTHB099, 5′–TGT(A/g)NBSYRSVN(T/c)ACA–3′, and mapped potential binding sites and regulated genes within the T. thermophilus HB8 genome. Comparisons with expression profile data in TTHB099-deficient and wild type strains suggested that, unlike E. coli CRP (CRPEc), TTHB099 does not have a simple regulatory mechanism. However, we hypothesize that TTHB099 can be a dual-regulator similar to CRPEc.",Design and PCR Synthesis of Infrared Fluorophore-Labeled Modular DNA Probes,"18635,39818",2,https://www.protocols.io/view/design-and-pcr-synthesis-of-infrared-fluorophore-l-wfjfbkn,8,Discovering the DNA-Binding Consensus of the Thermus thermophilus HB8 Transcriptional Regulator TTHA1359.,0.2567,0.174,0.7272,0.4172,0.4315,0.3157,8,Restriction Endonuclease Protection Assays using Infrared-Fluorescent Probes
How does wearing soft-soled shoes affect gait kinematics and spatiotemporal parameters in newly walking toddlers compared to barefoot walking?,33970926,"The development of walking in young toddlers is an important motor milestone. Walking patterns can differ widely amongst toddlers, and are characterised by unique biomechanical strategies. This makes comparisons between newly walking toddler’s and older children’s walking difficult. Little is currently understood regarding the effects of footwear on the gait in newly walking toddlers. A quasi-experimental pre-post study design was used to assess whether spatiotemporal parameters of gait, and in-shoe foot and lower limb kinematics, differed when walking barefoot and in soft-soled footwear in newly walking toddlers. There were 18 toddlers recruited, with 14 undergoing testing. The GAITRite system collected spatial and temporal data. The Vicon camera system collected kinematic data. The testing conditions included barefoot and footwear. Footwear tested was a commercially available soft soled shoe (Bobux XPLORER). Data was extracted directly from the GAITRite system and analysed. Walking in footwear did not change spatial or temporal data, however there were small but significant decreases in hip adduction/abduction range of motion (mean difference (MD) = 1.79°, 95% CI = -3.51 to -0.07, p = 0.04), knee flexion (MD = -7.63°, 95% CI = 2.70 to 12.55, p = 0.01), and knee flexion/extension range of movement (MD = 6.25°, 95% CI = -10.49 to -2.01, p = 0.01), and an increase in subtalar joint eversion (MD = 2.85°, 95% CI = 5.29 to -0.41, p = 0.03). Effect sizes were small for hip and ankle range, peak knee extension, and subtalar joint ranges (d<0.49), medium for knee flexion/extension range (d = 0.75) and large for peak knee flexion (d = 0.87). The magnitude of kinematic changes with soft-soled footwear were small thus the clinical importance of these findings is uncertain. Future longitudinal studies are needed to develop recommendations regarding footwear for newly walking toddlers.","Understanding the impact of sole soled footwear on toddler spatial, temporal and kinetic gait parameters.",45989,3,https://www.protocols.io/view/understanding-the-impact-of-sole-soled-footwear-on-bq6dmza6,1,"Understanding the impact of sole soled footwear on toddler spatial, temporal and kinetic gait parameters.",1.0,1.0,0.8124,1.0,1.0,0.8124,1,"Understanding the impact of sole soled footwear on toddler spatial, temporal and kinetic gait parameters."
"Measuring strontium, oxygen, and carbon isotope variation within single human third molar enamel samples to assess how caries affect isotopic integrity for forensic and archaeological mobility studies.",32333689,"Abstract Objectives Isotopic analyses using human dental enamel provide information on the mobility and diet of individuals in forensic and archeological studies. Thus far, no study has systematically examined intraindividual coupled strontium (Sr), oxygen (O), and carbon (C) isotope variation in human enamel or the effect that caries have on the isotopic integrity of the enamel. The inadequate quantification of isotopic variation affects interpretations and may constrain sample selection of elements affected by caries. This study aims to quantify the intraindividual isotopic variation and provides recommendations for enamel sampling methods. Material and Methods This study presents the first systematic results on intraindividual variation in Sr–O–C isotope composition and Sr concentration in modern human dental enamel of third molars (affected and unaffected by caries). A multiloci sampling approach (n = 6–20) was used to analyze surface and inner enamel, employing thermal ionization mass spectrometry (TIMS) and isotope ratio mass spectrometry (IRMS). Third molars were analyzed from 47 individuals from the Netherlands, Iceland, the United States, the Caribbean, Colombia, Somalia, and South Africa. Results Intradental isotopic variation in modern Dutch dental elements was recorded for Sr, O, and C and exceeded the variation introduced by the analytical error. Single loci and bulk sampling approaches of third molars established that a single analysis is only representative of the bulk Sr isotope composition in 60% of the elements analyzed. Dental elements affected by caries showed twice the variation seen in unaffected dental elements. Caries did not consistently incorporate the isotopic composition of the geographical environment in which they developed. Discussion The isotopic variability recorded in unaffected inner enamel indicates that variations greater than 0.000200 for 87Sr/86Sr and larger than 2‰ for δ18O and δ13C are required to demonstrate changes in modern Dutch human diet or geographic location.",Chromatographic separation of strontium isotopes in human dental enamel for Thermal Ionisation Mass Spectrometry (TIMS) analysis,24517,0,https://www.protocols.io/view/chromatographic-separation-of-strontium-isotopes-i-37dgri6,1,Chromatographic separation of strontium isotopes in human dental enamel for Thermal Ionisation Mass Spectrometry (TIMS) analysis,1.0,1.0,0.8147,1.0,1.0,0.8147,1,Chromatographic separation of strontium isotopes in human dental enamel for Thermal Ionisation Mass Spectrometry (TIMS) analysis
Nuclear staining and flow cytometry cell cycle analysis protocol for Malassezia yeast with thick lipid-rich cell walls using DAPI or propidium iodide.,39251619,"Malassezia is a lipophilic commensal yeast that resides mainly on the mammalian skin and is also found to associate with the internal organs. Dysbiosis of Malassezia is related to several diseases and often escapes detection as it is difficult to culture and maintain. Malassezia cell wall differs from other budding yeasts like S. cerevisiae due to the difference in the lipid content and is difficult to transform. In this study, we present a methodology to stain Malassezia's nucleus and perform cell cycle studies. However, staining presents a challenge due to its exceptionally thick cell wall with high lipid content, hindering conventional methods. Our novel methodology addresses this challenge and enables the staining of the Malassezia nucleus with a low background. This would allow researchers to visualize the overall nuclear health specifically nuclear morphology and analyze DNA content, crucial for cell cycle progression. By employing DNA-specific dyes like DAPI or Hoechst, we can observe the nuclear structure, and using PI we can differentiate cells in distinct cell cycle phases using techniques like flow cytometry. This novel staining methodology unlocks the door for in-depth cell cycle analysis in Malassezia which has challenged us through ages being refractory to genetic manipulations, paving the way for a deeper understanding of this commensal fungus and its potential role in human health.",Yeast DAPI Staining,2344,1,https://www.protocols.io/view/Yeast-DAPI-Staining-eigbcbw,3,"Detecting Cell Cycle Stage and Progression in Fission Yeast, Schizosaccharomyces pombe",0.4731,0.4718,0.3493,1.0,1.0,0.47,3,Yeast DAPI Staining
Mapping protein-RNA contact sites at single amino acid and nucleotide resolution using crosslinking with isotope-labeled RNA and tandem mass spectrometry in ribonucleoprotein complexes.,28346450,"Ribonucleoproteins (RNPs) are key regulators of cellular function. We established an efficient approach, crosslinking of segmentally isotope-labeled RNA and tandem mass spectrometry (CLIR-MS/MS), to localize protein–RNA interactions simultaneously at amino acid and nucleotide resolution. The approach was tested on polypyrimidine tract binding protein 1 and U1 small nuclear RNP. Our method provides distance restraints to support integrative atomic-scale structural modeling and to gain mechanistic insights into RNP-regulated processes.",Mapping protein-RNA interactions with single residue resolution by CLIR-MS/MS,121864,0,https://www.protocols.io/view/mapping-protein-rna-interactions-with-single-resid-d29g8h3w,0,RNxQuest: An Extension to the xQuest Pipeline Enabling Analysis of Protein-RNA Cross-Linking/Mass Spectrometry Data.,0.5505,0.5883,0.6678,0.5647,0.6237,0.734,3,Analyzing RNA-protein crosslinking sites in unlabeled ribonucleoprotein complexes by mass spectrometry.
R package for calibrating and converting raw fluorescence units from flow cytometry and plate reader data into absolute units for GFP expression in engineered E. coli.,32854500,"The measurement of gene expression using fluorescence markers has been a cornerstone of synthetic biology for the last two decades. However, the use of arbitrary units has limited the usefulness of this data for many quantitative purposes. Calibration of fluorescence measurements from flow cytometry and plate reader spectrophotometry has been implemented previously but the tools are disjointed. Here we pull together, and in some cases improve, extant methods into a single software tool, written as a package in the R statistical framework. The workflow is validated using Escherichia coli engineered to express GFP from a set of commonly used constitutive promoters. We then demonstrate its power by identifying the time evolution of distinct subpopulations of bacteria from bulk plate reader data, a task previously reliant on laborious flow cytometry experiments. Along with standardized parts and experimental methods, the development and dissemination of usable tools for quantitative measurement and data analysis will benefit the synthetic biology community by improving interoperability. Graphical Abstract",Calibration Protocol - Plate Reader Fluorescence Calibration,"21741,27409",1,https://www.protocols.io/view/calibration-protocol-plate-reader-fluorescence-cal-6zrhf56,0,PLATERO: A calibration protocol for plate reader green fluorescence measurements.,0.839,0.7873,0.6097,0.693,0.9017,0.5804,5,Calibration Protocol - Fluorescence Standard Curve with Fluorescein
Computational modeling tool to simulate electrical stimulation and recording from rat visceral nerves accounting for anatomical variability in fascicle size and axon diameter.,34740201,"Objective. Neuromodulation of visceral nerves is being intensively studied for treating a wide range of conditions, but effective translation requires increasing the efficacy and predictability of neural interface performance. Here we use computational models of rat visceral nerve to predict how neuroanatomical variability could affect both electrical stimulation and recording with an experimental planar neural interface. Approach. We developed a hybrid computational pipeline, Visceral Nerve Ensemble Recording and Stimulation (ViNERS), to couple finite-element modelling of extracellular electrical fields with biophysical simulations of individual axons. Anatomical properties of fascicles and axons in rat pelvic and vagus nerves were measured or obtained from public datasets. To validate ViNERS, we simulated pelvic nerve stimulation and recording with an experimental four-electrode planar array. Main results. Axon diameters measured from pelvic nerve were used to model a population of myelinated and unmyelinated axons and simulate recordings of electrically evoked single-unit field potentials (SUFPs). Across visceral nerve fascicles of increasing size, our simulations predicted an increase in stimulation threshold and a decrease in SUFP amplitude. Simulated threshold changes were dominated by changes in perineurium thickness, which correlates with fascicle diameter. We also demonstrated that ViNERS could simulate recordings of electrically-evoked compound action potentials (ECAPs) that were qualitatively similar to pelvic nerve recording made with the array used for simulation. Significance. We introduce ViNERS as a new open-source computational tool for modelling large-scale stimulation and recording from visceral nerves. ViNERS predicts how neuroanatomical variation in rat pelvic nerve affects stimulation and recording with an experimental planar electrode array. We show ViNERS can simulate ECAPS that capture features of our recordings, but our results suggest the underlying NEURON models need to be further refined and specifically adapted to accurately simulate visceral nerve axons.",Nerve tissue processing for transmission electron microscopy (TEM),"19271,19927,36536",1,https://www.protocols.io/view/nerve-tissue-processing-for-transmission-electron-xpxfmpn,0,Carbon nanotube (CNT) yarn fabrication for chronic interfacing with the autonomic nervous system,0.3364,0.3384,0.4285,0.4081,0.4788,0.4795,4,"Pelvic nerve implantation, testing and processing in awake rats"
